candidate_id,original_validation_spread,original_test_spread,original_recent_spread,original_may_stress_spread,one_bar_lag_recent_spread,control_dominance_ratio_premay_max,sign_stable_pre_may,lag_ok,min_abs_premay_spread,decision,cell,family,field_families,fields,operators,windows,feature_role
a7al2k_000b2f43c9a9bc8d,-0.002622256674735827,-0.0030878235787338056,-0.0008350629377777135,-0.0024912683585970137,-0.0008424228351966033,1.2993920657551394,True,True,0.0008350629377777135,HOLD_A7AL2L_CONTROL_DOMINATED,J0_oi_derived_state,derived_oi_price_state,open_interest|price,mark_close|open_interest_mean,Add|Mean|Neg|Rank,12|720,derived_interaction
a7al2k_0041e6ed001f2431,0.0004551990028239102,-5.3983283881838204e-05,9.068244212508148e-05,0.000994090119987724,8.385242506772013e-05,15.346491515158368,False,True,5.3983283881838204e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J1_vol_range_structure,derived_vol_range_state,price|volatility,mark_close|mark_high|trade_low,Abs|Delta|Sub|ZScore,336|504,derived_rolling
a7al2k_00870205696c9eab,-0.00032898911015165425,-0.00019135230841221167,-0.0007624481649350876,0.00043819557162522133,-0.0008507494530137688,50.812489362707765,True,True,0.00019135230841221167,HOLD_A7AL2L_CONTROL_DOMINATED,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity,trade_volume,Abs|Delta|Mean|Mul|Sign|ZScore,96|336,derived_rolling
a7al2k_01878e31bc021813,-0.0005428914397223922,-0.0022215072177191723,0.00019927569117134187,-0.007121284142509859,0.00021386586214695605,8.915112227837133,False,True,0.00019927569117134187,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J3_basis_funding_derived,derived_basis_funding_state,funding|price,funding_rate|mark_trade_basis_bps,Add|Mean|Neg|Rank,504|720,derived_interaction
a7al2k_0504fd431f5d1bef,-0.0003869075929745556,-0.001894158493104442,-0.002368373626615095,,-0.002166237832325791,8.369131248703956,True,True,0.0003869075929745556,HOLD_A7AL2L_CONTROL_DOMINATED,J4_upper_regime_interaction,derived_upper_regime_proxy,funding|liquidity,funding_rate|kline_taker_buy_quote_share,Add|Mean|Neg|Rank,96|720,upper_regime_proxy
a7al2k_005ea931395b1d44,-0.0014060988900303564,-0.0020365044998542268,-0.000262124982271352,-0.0025128397921125147,-0.00024807172129408863,2.316857806594216,True,True,0.000262124982271352,HOLD_A7AL2L_CONTROL_DOMINATED,J0_oi_derived_state,derived_oi_price_state,open_interest|price,index_close|open_interest_value_mean,Add|Mean|Neg|Rank,96|168,derived_interaction
a7al2k_02e0fd675c16f060,-0.0006256100634088234,4.254887620584902e-05,-5.095562224553089e-05,0.00016260530449854933,-7.757442642657029e-06,20.213901826658617,False,False,4.254887620584902e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J1_vol_range_structure,derived_vol_range_state,price|volatility,index_low|trade_close|trade_high,Abs|Delta|Sub|ZScore,48|168,derived_rolling
a7al2k_0112fb8a50839382,-0.0007649941564996564,0.00014549181027892429,-8.331411951969657e-05,-0.0005429283464094139,-6.124985081907089e-05,144.8745744963816,False,True,8.331411951969657e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity,trade_volume,Abs|Delta|Mean|Mul|Sign|ZScore,24|48,derived_rolling
a7al2k_0221940909117744,0.0008337272952943281,-0.0010321664622556384,-0.0010242770078616827,0.0025950746664426794,-0.0009090988387977954,3.3305653561840245,False,True,0.0008337272952943281,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J3_basis_funding_derived,derived_basis_funding_state,basis|funding,funding_rate|premium_close_bps,Add|Mean|Neg|Rank,8|336,derived_interaction
a7al2k_0b54d61e939cac19,,,,,,,False,False,0.0,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J4_upper_regime_interaction,derived_upper_regime_proxy,funding|liquidity,funding_rate|taker_buy_quote_volume,Add|Mean|Neg|Rank,48|504,upper_regime_proxy
a7al2k_0229cfd8f3eab064,-0.0018351739741817908,-0.001895588009437659,-0.00036255715477970067,-0.002380899456163166,-0.00035192480558468754,2.8245781059135475,True,True,0.00036255715477970067,HOLD_A7AL2L_CONTROL_DOMINATED,J0_oi_derived_state,derived_oi_price_state,open_interest|price,open_interest_value_mean|trade_close,Add|Mean|Neg|Rank,48|336,derived_interaction
a7al2k_0468947143e6f5ea,-0.0002183124905005669,-0.0003414679664291068,0.0001979272257682821,-3.4161920937780944e-05,0.000251359450914959,4.841244243757882,False,True,0.0001979272257682821,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J1_vol_range_structure,derived_vol_range_state,price|volatility,mark_close|mark_low|trade_high,Abs|Delta|Sub|ZScore,8|24,derived_rolling
a7al2k_03ae1d0730934813,-0.0011574603774144707,0.0002704721135790998,5.7826234764429e-05,0.00020755143418860195,-1.8026797669343473e-05,147.66505281546424,False,False,5.7826234764429e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity,trade_count,Abs|Delta|Mean|Mul|Sign|ZScore,12|48,derived_rolling
a7al2k_0376e6fb4b01c15e,2.153674977688115e-05,-0.0012453804319095506,-0.0008687961556138638,0.004131307864174882,-0.000498205177654768,68.59902356250944,False,True,2.153674977688115e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J3_basis_funding_derived,derived_basis_funding_state,basis|funding,funding_rate|mark_index_basis_bps,Add|Mean|Neg|Rank,4|720,derived_interaction
a7al2k_010b928604355c8b,-0.0003730588537854977,0.0005934281089548488,0.001134091093880214,-0.0023582052188487507,0.001553960562608908,8.817448845087364,False,True,0.0003730588537854977,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|funding,funding_rate|mark_index_basis_bps,Abs|Delta|Mean|Mul|Sign|ZScore,336|504,upper_regime_proxy
a7al2k_00ee9f9173e811d7,-0.0009911280049206728,-0.00014767522485791514,0.00045520300787508345,-0.0009744272405697701,0.00045529217503797727,81.03041107228533,False,True,0.00014767522485791514,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J0_oi_derived_state,derived_oi_price_state,open_interest|price,mark_close|open_interest_value_mean,Abs|Delta|Mul|Sign|ZScore,4|168,derived_interaction
a7al2k_06ab627029577475,6.515621193708431e-05,-0.0003572571787087307,-4.8421756179972686e-05,-0.0006626286945549082,-0.00023283370611747035,67.70911137797076,False,True,4.8421756179972686e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J1_vol_range_structure,derived_vol_range_state,price|volatility,index_high|index_low|mark_close,Abs|Delta|Sub|ZScore,24|96,derived_rolling
a7al2k_05d6c180aad8e803,-2.939624891948514e-05,0.0003603827826250278,0.0005296464627058072,-0.000522943302804608,0.0004921118038260372,41.43996699737538,False,True,2.939624891948514e-05,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity,kline_taker_buy_quote_share,Abs|Delta|Mean|Mul|Sign|ZScore,336|504,derived_rolling
a7al2k_020e72ea4dda0dbf,,,,,,,False,False,0.0,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J3_basis_funding_derived,derived_basis_funding_state,basis|funding,funding_rate|mark_index_basis_bps,Mean|Mul|Rank,12|336,derived_interaction
a7al2k_0204ebfe1394580c,,,,,,,False,False,0.0,HOLD_A7AL2L_UNSTABLE_PRE_MAY,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|funding,funding_rate|premium_close,Abs|Delta|Mean|Mul|Sign|ZScore,48|720,upper_regime_proxy
a7al2k_0293e0ba2eb2cd5d,-0.00045518244821919607,-0.0004022422379661016,-0.001425194330504382,0.001034036078192666,-0.0013694343618261835,63.83967384995712,True,True,0.0004022422379661016,HOLD_A7AL2L_CONTROL_DOMINATED,J0_oi_derived_state,derived_oi_price_state,open_interest|price,mark_close|open_interest_value_last,Abs|Delta|Mul|Sign|ZScore,24|48,derived_interaction
